Location,Cuisines,Average_Cost_for_Two,Rating,Votes,Reviews,Delivery_Time
"Yerawada, Pune, Maharashtra","Salad, Sandwich, Continental, Healthy Food",200.0,3.0,13.0,5.0,30.0
"Chandni Chowk, Kolkata",Mishti,50.0,4.0,1512.0,579.0,45.0
"MG Road, Pune",Fast Food,100.0,3.0,14.0,7.0,30.0
"Delhi Administration Flats, Timarpur","Japanese, Thai, Chinese",200.0,3.0,16.0,5.0,30.0
"Delhi High Court, India Gate","Italian, Asian, European",800.0,4.0,475.0,296.0,30.0
Majestic,"Bakery, Desserts",150.0,3.0,50.0,29.0,45.0
"Gora Bazar, Rajbari, North Dumdum, Kolkata","North Indian, Chinese, South Indian",100.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Bakery, Desserts, Beverages",200.0,4.0,736.0,297.0,30.0
"Sector 1, Noida","Beverages, Fast Food",100.0,3.0,19.0,11.0,30.0
"Sector 3, Marathalli","Desserts, Bakery",150.0,3.0,19.0,3.0,30.0
"Delhi Administration Flats, Timarpur",Fast Food,150.0,3.0,22.0,7.0,30.0
Mumbai Central,"Chinese, North Indian, Mughlai",200.0,3.0,172.0,70.0,45.0
"Sector 1, Noida",Chinese,150.0,3.0,11.0,8.0,30.0
"Delhi Administration Flats, Timarpur","North Indian, Chinese",300.0,3.0,63.0,26.0,30.0
"Hyderabad Public School, Begumpet","Bakery, Fast Food",100.0,3.0,148.0,30.0,45.0
Delhi Cantt.,"Healthy Food, Fast Food, Salad",200.0,3.0,304.0,119.0,45.0
"Rmz Centennial, I Gate, Whitefield","North Indian, South Indian",100.0,3.0,114.0,25.0,65.0
"Raja Bazar, Kolkata",Rolls,100.0,3.0,29.0,12.0,30.0
Majestic,"Desserts, Ice Cream",200.0,4.0,143.0,61.0,30.0
"Rmz Centennial, I Gate, Whitefield","North Indian, Street Food, Beverages",150.0,3.0,29.0,12.0,30.0
"Sector 14, Noida","Chinese, Momos",200.0,4.0,238.0,172.0,45.0
"Yerawada, Pune, Maharashtra","North Indian, Chinese, Fast Food, Seafood",400.0,2.0,35.0,18.0,45.0
Majestic,"Fast Food, Pizza, Desserts",150.0,3.0,13.0,7.0,30.0
"Sector 1, Noida","North Indian, Mughlai, Chinese",200.0,3.0,63.0,26.0,30.0
"D-Block, Sector 63, Noida","Beverages, Tea, Fast Food",100.0,3.0,68.0,39.0,30.0
"Dockyard Road, Mumbai CST Area",Mithai,200.0,3.0,63.0,26.0,30.0
"Delhi Administration Flats, Timarpur",North Indian,200.0,3.0,109.0,18.0,65.0
Delhi University-GTB Nagar,"Chinese, Fast Food",200.0,4.0,1594.0,897.0,30.0
"Sector 1, Noida",Mughlai,200.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Chinese, Arabian, Mughlai",200.0,3.0,63.0,26.0,30.0
"MG Road, Pune","Desserts, Fast Food",100.0,3.0,14.0,7.0,30.0
"D-Block, Sector 63, Noida","North Indian, Chinese, Thai, Mughlai",750.0,4.0,1069.0,655.0,45.0
"Panjetan Colony, Malakpet, Hyderabad",South Indian,50.0,3.0,5.0,1.0,30.0
"Sector 3, Marathalli","North Indian, Chinese, Biryani",200.0,3.0,123.0,47.0,45.0
"FTI College, Law College Road, Pune",North Indian,150.0,3.0,5.0,2.0,30.0
"Sandhurst Road, Mumbai CST Area","Mughlai, North Indian, Chinese, Seafood",350.0,3.0,919.0,361.0,30.0
"Jaya Nagar, Saidabad, Hyderabad",North Indian,100.0,3.0,10.0,2.0,30.0
"D-Block, Sector 63, Noida","Fast Food, South Indian, Chinese, Beverages",150.0,3.0,13.0,9.0,30.0
Delhi University-GTB Nagar,Street Food,100.0,3.0,185.0,33.0,30.0
"Yerawada, Pune, Maharashtra",Ice Cream,100.0,3.0,17.0,9.0,30.0
Pune University,"Arabian, Middle Eastern, Turkish, Lebanese, Mediterranean",200.0,4.0,198.0,106.0,65.0
"FTI College, Law College Road, Pune","Chinese, North Indian",250.0,2.0,57.0,26.0,30.0
Delhi University-GTB Nagar,"North Indian, Fast Food",100.0,3.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune","Ice Cream, Beverages",100.0,4.0,423.0,244.0,45.0
"Musi Nagar, Malakpet, Hyderabad",South Indian,50.0,3.0,41.0,9.0,45.0
"Gora Bazar, Rajbari, North Dumdum, Kolkata","Biryani, North Indian",100.0,3.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune","Maharashtrian, North Indian",150.0,3.0,116.0,29.0,65.0
"Yerawada, Pune, Maharashtra","North Indian, Chinese, South Indian, Italian, Beverages, Desserts",350.0,3.0,16.0,10.0,30.0
"Nathan Road, Mangaldas Road, Pune","North Indian, Chinese",100.0,3.0,16.0,11.0,30.0
"Delhi Administration Flats, Timarpur","Burger, Fast Food",100.0,3.0,63.0,26.0,30.0
"Sandhurst Road, Mumbai CST Area","Bakery, Desserts, Fast Food",200.0,3.0,75.0,30.0,30.0
"Sector 14, Noida","Fast Food, Beverages",200.0,4.0,164.0,56.0,30.0
"Delhi High Court, India Gate","North Indian, Fast Food, Mughlai",550.0,2.0,21.0,13.0,45.0
Mumbai Central,"Bar Food, North Indian, Chinese",600.0,3.0,7.0,26.0,45.0
"Sector 63A,Gurgaon","Wraps, Healthy Food, Sandwich, Salad",150.0,3.0,416.0,113.0,30.0
"D-Block, Sector 63, Noida","North Indian, Chinese",200.0,3.0,145.0,22.0,45.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Fast Food, Beverages",150.0,3.0,17.0,11.0,30.0
"Delhi High Court, India Gate","North Indian, Chinese, Italian",250.0,3.0,31.0,16.0,30.0
"Nathan Road, Mangaldas Road, Pune","North Indian, Chinese",150.0,3.0,32.0,9.0,30.0
"Chandni Chowk, Kolkata","Mishti, Desserts",100.0,3.0,12.0,6.0,30.0
"Jaya Nagar, Saidabad, Hyderabad",South Indian,100.0,3.0,21.0,5.0,30.0
"Chatta Bazaar, Malakpet, Hyderabad",Mithai,100.0,4.0,551.0,24.0,30.0
Delhi Cantt.,"Cafe, Fast Food",250.0,3.0,9.0,5.0,30.0
"Rmz Centennial, I Gate, Whitefield","Beverages, Ice Cream, Fast Food",150.0,3.0,15.0,5.0,30.0
"D-Block, Sector 63, Noida","Chinese, Thai, Seafood",150.0,3.0,75.0,35.0,65.0
Mumbai Central,"Ice Cream, Desserts, Beverages",150.0,3.0,27.0,7.0,45.0
Delhi University-GTB Nagar,"North Indian, Mughlai",250.0,3.0,9.0,5.0,30.0
"Sector 1, Noida","North Indian, Chinese, Continental, Italian",350.0,4.0,1389.0,888.0,65.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Rolls",100.0,3.0,50.0,4.0,45.0
"Sector 63A,Gurgaon","Burger, Fast Food, Desserts, Beverages",150.0,3.0,63.0,26.0,30.0
"D-Block, Sector 63, Noida","Biryani, North Indian",100.0,3.0,63.0,26.0,30.0
"Sector 1, Noida",North Indian,150.0,3.0,63.0,26.0,30.0
Majestic,"Cafe, Chinese",300.0,3.0,248.0,91.0,30.0
"Tejas Nagar Colony, Wadala West, Mumbai",Ice Cream,100.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Desserts, Beverages, American",200.0,3.0,51.0,29.0,45.0
"Moulali, Kolkata","Rolls, Sandwich, Fast Food",150.0,3.0,304.0,127.0,65.0
Majestic,Biryani,100.0,3.0,24.0,15.0,30.0
"Sandhurst Road, Mumbai CST Area","Biryani, Chinese, Mughlai",200.0,3.0,27.0,7.0,30.0
"Sector 1, Noida","North Indian, Fast Food",150.0,3.0,11.0,4.0,30.0
"Rmz Centennial, I Gate, Whitefield","North Indian, South Indian",100.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Beverages, Fast Food, Chinese",200.0,3.0,63.0,26.0,30.0
"Nathan Road, Mangaldas Road, Pune","Finger Food, Salad, Continental, Italian, Sandwich",600.0,4.0,1392.0,739.0,45.0
"FTI College, Law College Road, Pune","Ice Cream, Sandwich, Bubble Tea",150.0,3.0,231.0,135.0,45.0
"D-Block, Sector 63, Noida","Fast Food, Italian, Beverages",150.0,3.0,167.0,89.0,65.0
"D-Block, Sector 63, Noida","North Indian, Chinese",100.0,3.0,63.0,26.0,30.0
"Sector 1, Noida","North Indian, Biryani, Mughlai",300.0,3.0,38.0,22.0,30.0
"Tejas Nagar Colony, Wadala West, Mumbai","Coffee, Cafe, Fast Food, Desserts, Beverages",200.0,3.0,138.0,84.0,30.0
"FTI College, Law College Road, Pune","Ice Cream, Fast Food",150.0,3.0,9.0,3.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Fast Food, Street Food, Beverages",200.0,4.0,70.0,55.0,30.0
"FTI College, Law College Road, Pune","Desserts, Ice Cream",100.0,2.0,28.0,13.0,30.0
"Hyderabad Public School, Begumpet",South Indian,100.0,3.0,87.0,21.0,30.0
Pune University,"North Indian, Fast Food",150.0,2.0,20.0,2.0,30.0
Delhi University-GTB Nagar,Korean,400.0,4.0,582.0,294.0,65.0
"D-Block, Sector 63, Noida",Mughlai,200.0,3.0,63.0,26.0,30.0
"Sector 63A,Gurgaon","Chinese, North Indian",200.0,3.0,46.0,18.0,30.0
"Sector 3, Marathalli",North Indian,600.0,4.0,2035.0,1161.0,45.0
"Sector 14, Noida","North Indian, Mughlai, Chinese",550.0,3.0,504.0,369.0,45.0
"Delhi High Court, India Gate",North Indian,150.0,3.0,63.0,26.0,30.0
"Gora Bazar, Rajbari, North Dumdum, Kolkata","North Indian, Mughlai",150.0,2.0,23.0,14.0,30.0
"FTI College, Law College Road, Pune",Fast Food,100.0,3.0,4.0,3.0,30.0
"Sector 1, Noida","North Indian, Afghan, Lebanese",200.0,3.0,17.0,4.0,30.0
Delhi University-GTB Nagar,"Italian, Pizza, Desserts, Beverages",200.0,4.0,772.0,581.0,65.0
"Sector 63A,Gurgaon","Asian, Thai, Japanese, Poké",600.0,4.0,475.0,397.0,65.0
"Sandhurst Road, Mumbai CST Area",Continental,550.0,3.0,927.0,290.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Healthy Food, Street Food, Desserts, Beverages",350.0,4.0,1515.0,771.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",Biryani,100.0,3.0,20.0,4.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",Fast Food,150.0,3.0,63.0,26.0,30.0
"Sector 3, Marathalli","Andhra, Biryani",150.0,3.0,15.0,12.0,30.0
Delhi University-GTB Nagar,"Fast Food, Rolls",100.0,3.0,80.0,38.0,30.0
"Dockyard Road, Mumbai CST Area","Rolls, Fast Food",150.0,3.0,174.0,58.0,45.0
Pune University,"North Indian, Biryani",150.0,3.0,36.0,4.0,30.0
"Sector 63A,Gurgaon","North Indian, Chinese",200.0,3.0,44.0,37.0,30.0
"D-Block, Sector 63, Noida","North Indian, Chinese",250.0,2.0,23.0,17.0,30.0
"Sector 63A,Gurgaon","Healthy Food, Juices, Salad, Continental, Sandwich",200.0,3.0,11.0,7.0,30.0
Delhi Cantt.,"North Indian, Chinese, Fast Food",150.0,3.0,92.0,26.0,65.0
"Delhi Administration Flats, Timarpur","North Indian, Chinese, Continental, Momos",450.0,4.0,1626.0,1031.0,65.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","South Indian, Chinese, North Indian",200.0,3.0,36.0,14.0,30.0
Mumbai Central,"Middle Eastern, Lebanese, Healthy Food",250.0,3.0,345.0,162.0,45.0
Mumbai Central,"Pizza, Fast Food",200.0,3.0,277.0,89.0,30.0
"Delhi High Court, India Gate","North Indian, Mughlai",200.0,3.0,4.0,1.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore",Desserts,100.0,3.0,63.0,26.0,30.0
"Sector 14, Noida","North Indian, Chinese",200.0,3.0,371.0,97.0,45.0
"Sandhurst Road, Mumbai CST Area","Fast Food, Juices, Beverages, Pizza",150.0,3.0,210.0,70.0,30.0
"Sector 1, Noida","Chinese, North Indian",200.0,3.0,124.0,20.0,45.0
"Nathan Road, Mangaldas Road, Pune","Chinese, Malaysian, Thai, Japanese",550.0,4.0,965.0,518.0,45.0
Majestic,"Seafood, Chinese",200.0,3.0,8.0,1.0,30.0
"Panjetan Colony, Malakpet, Hyderabad",Fast Food,100.0,3.0,63.0,26.0,30.0
"Delhi Administration Flats, Timarpur","Burger, Fast Food, Beverages",150.0,4.0,2862.0,1464.0,45.0
"Yerawada, Pune, Maharashtra",Street Food,100.0,2.0,61.0,44.0,65.0
"Chandni Chowk, Kolkata",Juices,50.0,3.0,63.0,26.0,30.0
"Sector 14, Noida","Chinese, Fast Food",150.0,3.0,63.0,26.0,30.0
"Delhi Administration Flats, Timarpur","Desserts, Beverages",150.0,3.0,16.0,7.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","South Indian, Chinese, North Indian",200.0,3.0,63.0,26.0,30.0
"Babarpur, New Delhi, Delhi","North Indian, South Indian, Fast Food",200.0,3.0,31.0,14.0,30.0
Mumbai Central,Fast Food,150.0,3.0,63.0,26.0,30.0
"FTI College, Law College Road, Pune","Italian, Continental, Salad",550.0,4.0,848.0,536.0,45.0
"Delhi Administration Flats, Timarpur",Fast Food,150.0,3.0,15.0,8.0,30.0
"D-Block, Sector 63, Noida",Chinese,250.0,3.0,8.0,2.0,30.0
Mumbai Central,Cafe,450.0,4.0,244.0,119.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Fast Food, Desserts, Beverages",150.0,4.0,261.0,99.0,30.0
"FTI College, Law College Road, Pune",Fast Food,150.0,3.0,63.0,26.0,30.0
"Sector 14, Noida","Biryani, Mughlai, Kebab, Rolls, Roast Chicken",200.0,3.0,63.0,26.0,30.0
Pune University,"North Indian, Street Food, Chinese",100.0,3.0,63.0,26.0,45.0
Pune University,"Cafe, Continental, Salad, Italian, Fast Food, Desserts, Beverages",350.0,4.0,418.0,220.0,30.0
"Sector 1, Noida","North Indian, Biryani, Rolls",200.0,3.0,5.0,2.0,30.0
"Gora Bazar, Rajbari, North Dumdum, Kolkata","North Indian, Biryani, Bengali, Chinese, Rolls",100.0,3.0,10.0,1.0,30.0
"Sector 1, Noida",Chinese,200.0,3.0,63.0,26.0,30.0
"Moulali, Kolkata",North Indian,100.0,3.0,57.0,13.0,45.0
"Delhi High Court, India Gate","Asian, Biryani, North Indian, Desserts",200.0,3.0,87.0,69.0,30.0
Delhi University-GTB Nagar,"North Eastern, North Indian, Chinese",400.0,3.0,321.0,161.0,30.0
"Rmz Centennial, I Gate, Whitefield","North Indian, Hyderabadi, Andhra, Chinese",250.0,3.0,112.0,53.0,45.0
"Nathan Road, Mangaldas Road, Pune","Italian, Pizza, Salad, Healthy Food, Mexican, Cafe, Desserts, Continental",650.0,4.0,3248.0,1603.0,45.0
"Chandni Chowk, Kolkata",North Indian,200.0,3.0,709.0,133.0,30.0
"Sector 1, Noida","North Indian, Mughlai, Momos",250.0,3.0,173.0,29.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Cafe, Continental, Italian",400.0,4.0,2828.0,1443.0,45.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Mithai, Fast Food, Chinese, North Indian, South Indian",200.0,3.0,54.0,13.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","South Indian, North Indian",150.0,3.0,41.0,13.0,30.0
"Hyderabad Public School, Begumpet",Desserts,150.0,4.0,108.0,80.0,30.0
"MG Road, Pune","Italian, South Indian, Ice Cream",100.0,3.0,63.0,26.0,30.0
"Rmz Centennial, I Gate, Whitefield","Bengali, North Indian",150.0,3.0,63.0,26.0,30.0
"Sector 3, Marathalli","Street Food, North Indian, Fast Food",100.0,4.0,745.0,352.0,30.0
"FTI College, Law College Road, Pune","North Indian, Chinese",200.0,3.0,63.0,26.0,30.0
Mumbai Central,"Cafe, Bakery, Desserts",400.0,4.0,3386.0,2126.0,45.0
"Panjetan Colony, Malakpet, Hyderabad",North Indian,200.0,3.0,11.0,3.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Biryani, North Indian, Chinese, Mughlai, Seafood",250.0,3.0,22.0,9.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Beverages, Juices",100.0,3.0,78.0,39.0,30.0
Mumbai Central,Fast Food,200.0,3.0,63.0,26.0,30.0
"Noorkhan Bazaar, Malakpet, Hyderabad",South Indian,50.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Chinese",150.0,3.0,63.0,26.0,30.0
"Delhi High Court, India Gate","North Indian, Chinese, Continental, Thai, Momos",350.0,3.0,51.0,26.0,30.0
"Rmz Centennial, I Gate, Whitefield","Street Food, Mithai, North Indian, Fast Food, Desserts",150.0,4.0,393.0,168.0,45.0
"Rmz Centennial, I Gate, Whitefield",Fast Food,100.0,3.0,226.0,35.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Beverages, Tea, Fast Food",150.0,3.0,63.0,26.0,30.0
Delhi Cantt.,Fast Food,150.0,3.0,65.0,48.0,30.0
"Hyderabad Public School, Begumpet","North Indian, Desserts, Beverages",200.0,3.0,11.0,4.0,30.0
"Babarpur, New Delhi, Delhi","Cafe, Desserts",200.0,3.0,13.0,1.0,30.0
"Dockyard Road, Mumbai CST Area",South Indian,100.0,2.0,10.0,3.0,30.0
"Yerawada, Pune, Maharashtra","Lebanese, Fast Food",200.0,3.0,291.0,174.0,30.0
"Yerawada, Pune, Maharashtra","North Indian, Mughlai",150.0,3.0,63.0,26.0,30.0
"Nathan Road, Mangaldas Road, Pune","North Indian, Street Food, Desserts",150.0,4.0,696.0,296.0,45.0
"Panjetan Colony, Malakpet, Hyderabad",North Indian,200.0,3.0,7.0,2.0,30.0
"Sandhurst Road, Mumbai CST Area","Ice Cream, Desserts, Beverages",150.0,3.0,27.0,7.0,45.0
"Sandhurst Road, Mumbai CST Area","North Indian, Chinese, Mughlai, Fast Food",300.0,4.0,2521.0,1150.0,65.0
"Moulali, Kolkata","Cafe, Fast Food",350.0,4.0,1185.0,743.0,45.0
Mumbai Central,"Fast Food, Sandwich",100.0,3.0,63.0,26.0,30.0
"Sector 14, Noida","Mughlai, North Indian, Chinese",200.0,3.0,50.0,18.0,30.0
Majestic,"Fast Food, Beverages",200.0,3.0,4.0,1.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Street Food, Juices",100.0,4.0,693.0,233.0,45.0
"Sector 3, Marathalli",Ice Cream,100.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","North Indian, Chinese",200.0,3.0,22.0,13.0,30.0
"Sector 3, Marathalli",North Indian,100.0,3.0,88.0,28.0,65.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Beverages, Fast Food",200.0,3.0,63.0,26.0,30.0
Delhi Cantt.,Chinese,100.0,3.0,63.0,26.0,30.0
"Delhi Administration Flats, Timarpur",South Indian,200.0,3.0,52.0,47.0,30.0
Mumbai Central,Momos,100.0,3.0,63.0,26.0,30.0
"Sandhurst Road, Mumbai CST Area","North Indian, Fast Food, South Indian, Chinese",200.0,3.0,125.0,45.0,30.0
Delhi Cantt.,South Indian,100.0,3.0,63.0,26.0,30.0
"MG Road, Pune",North Indian,200.0,3.0,26.0,7.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","South Indian, North Indian",200.0,3.0,5.0,26.0,30.0
"D-Block, Sector 63, Noida",Chinese,150.0,3.0,4.0,26.0,30.0
"FTI College, Law College Road, Pune","Fast Food, Bakery, Desserts",150.0,3.0,44.0,14.0,30.0
"Delhi Administration Flats, Timarpur","Fast Food, Continental",150.0,3.0,90.0,30.0,30.0
"Nathan Road, Mangaldas Road, Pune",Sandwich,100.0,3.0,63.0,26.0,30.0
"Panjetan Colony, Malakpet, Hyderabad","South Indian, North Indian, Chinese",350.0,3.0,18.0,4.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",Biryani,200.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Fast Food, Chinese",100.0,3.0,17.0,4.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Mithai, North Indian",150.0,2.0,20.0,4.0,30.0
Majestic,"Biryani, Hyderabadi, North Indian, Mughlai",100.0,2.0,23.0,16.0,30.0
"MG Road, Pune","Fast Food, Italian, Beverages",200.0,3.0,327.0,173.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Mithai, Street Food",200.0,4.0,136.0,21.0,65.0
"Delhi High Court, India Gate","North Indian, Lebanese, Mexican, Italian, American",600.0,4.0,2783.0,1589.0,30.0
"Yerawada, Pune, Maharashtra","North Indian, Chinese",200.0,3.0,61.0,24.0,45.0
"Sector 1, Noida",North Indian,100.0,3.0,5.0,26.0,30.0
"Raja Bazar, Kolkata","Italian, Continental",1200.0,4.0,655.0,358.0,30.0
Delhi University-GTB Nagar,"North Indian, Chinese",150.0,3.0,63.0,26.0,30.0
Delhi Cantt.,"North Indian, Mughlai, Chinese, Momos",200.0,3.0,26.0,21.0,30.0
"Rmz Centennial, I Gate, Whitefield","Desserts, Street Food, Sandwich, Beverages",150.0,3.0,211.0,132.0,30.0
"D-Block, Sector 63, Noida","Pizza, Fast Food",200.0,3.0,63.0,52.0,30.0
"Rmz Centennial, I Gate, Whitefield","Continental, North Indian, BBQ, Steak",800.0,4.0,9054.0,6504.0,45.0
"Sector 14, Noida","North Indian, Mughlai, Kebab",550.0,3.0,1072.0,609.0,45.0
Delhi University-GTB Nagar,"North Indian, Street Food, South Indian",100.0,3.0,10.0,1.0,30.0
Pune University,"Pizza, Italian, Desserts, Beverages",250.0,4.0,198.0,69.0,30.0
"D-Block, Sector 63, Noida",Chinese,200.0,3.0,63.0,26.0,30.0
"Rmz Centennial, I Gate, Whitefield","Arabian, Lebanese, Mughlai, North Indian, BBQ, Chinese",200.0,4.0,414.0,254.0,45.0
Mumbai Central,Fast Food,150.0,3.0,38.0,7.0,30.0
"Sandhurst Road, Mumbai CST Area","Chinese, North Indian, Biryani",250.0,2.0,85.0,31.0,45.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","South Indian, Chettinad, Chinese",200.0,3.0,63.0,26.0,30.0
"Rmz Centennial, I Gate, Whitefield","Desserts, Ice Cream",200.0,4.0,145.0,64.0,45.0
"Sector 3, Marathalli","North Indian, Chinese, South Indian, Andhra",250.0,3.0,4.0,1.0,30.0
"Sector 14, Noida","Italian, Pizza, Burger",200.0,3.0,78.0,44.0,30.0
"Sector 63A,Gurgaon","Mithai, Street Food, Chinese",150.0,3.0,35.0,16.0,65.0
"Sector 3, Marathalli","North Indian, Beverages",100.0,3.0,63.0,26.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan",North Indian,100.0,3.0,68.0,14.0,45.0
"D-Block, Sector 63, Noida",Biryani,200.0,3.0,63.0,26.0,30.0
"Raja Bazar, Kolkata","North Indian, Fast Food",100.0,3.0,94.0,36.0,45.0
Delhi University-GTB Nagar,"Chinese, Fast Food, Beverages",100.0,3.0,63.0,26.0,30.0
"Yerawada, Pune, Maharashtra","Continental, Beverages, Desserts, Fast Food",500.0,4.0,1552.0,855.0,30.0
"Hyderabad Public School, Begumpet",South Indian,100.0,3.0,100.0,27.0,45.0
"FTI College, Law College Road, Pune","Burger, Italian",100.0,3.0,63.0,26.0,30.0
"Chatta Bazaar, Malakpet, Hyderabad",South Indian,50.0,3.0,5.0,1.0,30.0
"Sector 1, Noida","North Indian, Biryani",200.0,3.0,15.0,4.0,30.0
Mumbai Central,"Chinese, North Indian, South Indian, Fast Food",250.0,3.0,445.0,218.0,30.0
"Sector 1, Noida","Desserts, Burger, Beverages, Fast Food, Cafe, Bakery",250.0,4.0,277.0,185.0,30.0
"Nathan Road, Mangaldas Road, Pune","North Indian, Mughlai, Kebab, Chinese",300.0,3.0,689.0,341.0,45.0
"Nathan Road, Mangaldas Road, Pune","Continental, North Indian, Italian",750.0,4.0,297.0,205.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Rolls, Fast Food",150.0,3.0,28.0,6.0,30.0
"Sector 1, Noida","American, Mexican",200.0,3.0,21.0,14.0,30.0
Majestic,"Fast Food, Sandwich",150.0,3.0,63.0,26.0,30.0
"Sector 1, Noida",North Indian,150.0,3.0,27.0,5.0,30.0
"Sector 3, Marathalli","Beverages, Desserts",150.0,3.0,63.0,26.0,30.0
"MG Road, Pune","North Indian, Chinese, Continental",400.0,3.0,10.0,3.0,65.0
"Sector 63A,Gurgaon","Biryani, North Indian",200.0,3.0,5.0,1.0,30.0
"Sector 63A,Gurgaon",Cafe,300.0,3.0,75.0,43.0,45.0
"D-Block, Sector 63, Noida","North Indian, Chinese",200.0,3.0,12.0,3.0,30.0
"Babarpur, New Delhi, Delhi",North Indian,200.0,3.0,63.0,26.0,30.0
"Mico Layout, Stage 2, BTM Layout,Bangalore","Fast Food, Chinese, North Indian",150.0,3.0,63.0,26.0,30.0
Pune University,"Desserts, Beverages",100.0,3.0,6.0,2.0,30.0
"Nathan Road, Mangaldas Road, Pune","Bakery, Desserts",250.0,4.0,557.0,358.0,45.0
"Nathan Road, Mangaldas Road, Pune","North Indian, Mughlai",200.0,3.0,126.0,70.0,30.0
"Tejas Nagar Colony, Wadala West, Mumbai","Fast Food, Bakery",150.0,3.0,63.0,26.0,30.0
"Sector 3, Marathalli","Bakery, Desserts",200.0,3.0,26.0,8.0,45.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Chinese, Momos, Thai",200.0,2.0,63.0,26.0,30.0
"D-Block, Sector 63, Noida","North Indian, Seafood",100.0,3.0,22.0,4.0,30.0
"Babarpur, New Delhi, Delhi",North Indian,150.0,3.0,36.0,5.0,45.0
"Rmz Centennial, I Gate, Whitefield",Biryani,150.0,3.0,30.0,12.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","Mughlai, North Indian",150.0,3.0,14.0,2.0,45.0
Pune University,Fast Food,150.0,3.0,22.0,5.0,30.0
"Chandni Chowk, Kolkata",North Indian,150.0,3.0,287.0,26.0,45.0
"Rmz Centennial, I Gate, Whitefield","South Indian, North Indian, Chinese",200.0,3.0,15.0,4.0,30.0
"Nathan Road, Mangaldas Road, Pune","Healthy Food, Salad, Juices",200.0,3.0,75.0,38.0,45.0
"Delhi Administration Flats, Timarpur",North Indian,100.0,3.0,112.0,24.0,30.0
"Tejas Nagar Colony, Wadala West, Mumbai","Cafe, Fast Food, Desserts, Beverages",400.0,4.0,329.0,250.0,30.0
"Delhi Administration Flats, Timarpur","Cafe, Italian, Continental, North Indian",500.0,4.0,972.0,695.0,65.0
"Sector 1, Noida","Fast Food, Biryani, North Indian, Rolls",150.0,4.0,63.0,26.0,30.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Chinese",150.0,3.0,63.0,26.0,30.0
"Sector 1, Noida","North Indian, Chinese, Rolls",150.0,3.0,63.0,26.0,30.0
"Sector 1, Noida",Fast Food,150.0,3.0,63.0,26.0,30.0
Mumbai Central,"Italian, Street Food, Fast Food",150.0,3.0,99.0,30.0,65.0
"Rmz Centennial, I Gate, Whitefield","Pizza, Fast Food",250.0,3.0,29.0,13.0,45.0
Mumbai Central,"Burger, Fast Food, Beverages",200.0,3.0,1268.0,647.0,45.0
"Laxman Vihar Industrial Area, Sector 3A, Gurgoan","North Indian, Chinese, Biryani",200.0,3.0,63.0,26.0,30.0
"Rmz Centennial, I Gate, Whitefield",Street Food,100.0,3.0,36.0,18.0,30.0
